English,Français,Deutsch,Español,Italiano,Svenska,Nederlands,Русский
English,,,,,,,
Français,,,,,,,
Deutsch,,,,,,,
Español,,,,,,,
Italiano,,,,,,,
Svenska,,,,,,,
Nederlands,,,,,,,
Русский,,,,,,,
{,,,,,,,
,,,,,,,
Play Game,Nouvelle partie,Spielen,Jugar,Nuova partita,Spela,Spel Spelen,Играть
Settings,Préférences,Einstellungen,Preferencias,Impostazioni,Inställningar,Instellingen,Настройки
Info,Infos,Info,Info,Info,Information,Info,Информация
Quit,Quitter,Beenden,Salir,Esci,Avsluta,Afsluiten,Выйти
,,,,,,,
Adventure,Aventure,Adventure,Aventura,Avventura,Äventyr,Avontuur,Приключение
Nano vs. Nano,Nano contre Nano,Nano vs. Nano,Nano contra Nano,Nano vs. Nano,Nano vs. Nano,Nano tegen Nano,Один на один
Saved Games,Parties enregistrées,Spiel fortsetzen,Continuar partida guardada,Partite salvate,Ladda sparat spel,Opgeslagen spelen,Сохранения
,,,,,,,
Story,L'Univers <en anglais>,Geschichte <auf Englisch>,Historia <en inglés>,Storia <in inglese>,Bakgrundshistoria <på engelska>,Geschiedenis <Engels>,История
Story <subtitled>,L'Univers <sous-titré>,Geschichte <mit Untertiteln>,Historia <con subtítulos>,Storia <con sottotitoli>,Bakgrundshistoria <med undertext>,Geschiedenis <met ondertitels>,История <субтитры>
Credits,Crédits,Credits,Créditos,Crediti,Vi Som Gör Nanosaur,Credits,Авторы
Pangea Web Site,Site Web Pangea,Pangea-Webseite,Pagina Web de Pangea,Sito web di Pangea,Pangeas hemsida,Pangea-Website,Веб-сайт
,,,,,,,
Race <Swamp>,Course <Marécage>,Rennen <Sumpf>,Carrera 1,Corsa <Palude>,Tävling <Träsket>,Race 1,Гонка <Болото>
Race <Desert>,Course <Désert>,Rennen <Wüste>,Carrera 2,Corsa <Deserto>,Tävling <Öknen>,Race 2,Гонка <Пустыня>
Battle <Forest>,Bataille <Forêt>,Kampf <Wald>,Batalla 1,Battaglia <Foresta>,Tvekamp <Skogen>,Strijd 1,Битва <Лес>
Battle <Desert>,Bataille <Désert>,Kampf <Wüste>,Batalla 2,Battaglia <Deserto>,Tvekamp <Öknen>,Strijd 2,Битва <Пустыня>
Capture the Eggs <Swamp>,Prise des Œufs <Marécage>,Eier erobern <Sumpf>,Capturar los huevos 1,Cattura le uova <Palude>,Fånga Äggen <Träsket>,De Eieren bemachtigen 1,Захват яиц <Болото>
Capture the Eggs <Forest>,Prise des Œufs <Forêt>,Eier erobern <Wald>,Capturar los huevos 2,Cattura le uova <Foresta>,Fånga Äggen <Skogen>,De Eieren bemachtigen 2,Захват яиц <Лес>
,,,,,,,
Resume,Retour au jeu,Fortfahren,Continuar,Riprendi,Återuppta,Doorgaan,Далее
End Game,Abandonner,Mission beenden,Retirarse,Abbandona,Ge upp,Einde,Закончить
,,,,,,,
Press any key,Appuie sur une touche,Taste drücken,Pulsa cualquier tecla,Premi un tasto,Tryck på valfri knapp,Druk op een knop,Нажмите любую клавишу
Press SPACE,Appuie sur ESPACE,Drücke LEERTASTE,Pulsa ESPACIO,Premi SPAZIO,Tryck MELLANSLAG,Druk op SPATIEBALK,Нажмите SPACE
Press START,Appuie sur START,Drücke START,Pulsa START,Premi START,Tryck START,Druk op START,Нажмите START
Press SPACE to continue,Appuie sur ESPACE pour continuer,Drücke LEERTASTE um fortzufahren,Pulsa ESPACIO para continuar,Premi SPAZIO per continuare,Tryck MELLANSLAG för att fortsätta,Druk op SPATIEBALK om door te gaan,Нажмите SPACE для продолжения
Press START to continue,Appuie sur START pour continuer,Drücke START um fortzufahren,Pulsa START para continuar,Premi START per continuare,Tryck START för att fortsätta,Druk op START om door te gaan,Нажмите START для продолжения
Press ESC to go back,Appuie sur ÉCHAP pour revenir en arrière,,,Premi ESC per tornare indietro,,,"Нажмите ESC, чтобы вернуться"
,,,,,,,
Save Game,Enregistrer la partie,Spiel speichern,Guardar el juego,Salva la partita,Spara spelet,Spel opslaan,Сохранить игру
Continue Without Saving,Continuer sans enregistrer,Fortfahren ohne zu speichern,Continuar sin guardar,Continua senza salvare,Fortsätta utan att spara,Doorgaan zonder op te slaan,Продолжить без сохранения
